Địa chỉ,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số toilet,Pháp lý,Nội thất,Số phòng ngủ
"Đường Quang Tiến, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",45 m²,4.1 tỷ,,,,,,,Sổ đỏ/ Sổ hồng,,4 phòng
"Phường Lĩnh Nam, Hoàng Mai, Hà Nội",31 m²,2.6 tỷ,,,,,,,,,
"Đường Xuân Đỉnh, Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội",45 m²,6.2 tỷ,,,,,5 tầng,,,,
"Đường Huyền Kỳ, Phường Phú Lãm, Hà Đông, Hà Nội",40 m²,2.4 tỷ,,,,,,,Sổ đỏ,,
"Đường Tô Vĩnh Diện, Phường Khương Mai, Thanh Xuân, Hà Nội",43 m²,5 tỷ,5 m,2.5 m,Đông - Nam,Đông - Nam,4 tầng,5 phòng,Sổ đỏ/ Sổ hồng,Cao cấp,4 phòng
"Đường 21B, Phường Phú Lương, Hà Đông, Hà Nội",34 m²,2.7 tỷ,,,,,4 tầng,,Sổ đỏ,,
"Phố Phú Lương, Phường Phú Lương, Hà Đông, Hà Nội",40 m²,2.6 tỷ,,,,,4 tầng,,Sổ đỏ,,4 phòng
"Đường 21B, Phường Phú Lương, Hà Đông, Hà Nội",40 m²,2.7 tỷ,,4 m,,,4 tầng,,,,3 phòng
"Phố Hồng Tiến, Phường Bồ Đề, Long Biên, Hà Nội",42 m²,7.5 tỷ,3.5 m,5 m,,,6 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,Cao cấp.,3 phòng
"Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",45 m²,8.3 tỷ,4.5 m,5 m,,,7 tầng,5 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Lê Trọng Tấn, Phường Khương Đình, Thanh Xuân, Hà Nội",35 m²,4.8 tỷ,,3 m,,,6 tầng,5 phòng,Sổ đỏ/ Sổ hồng,Cao cấp,5 phòng
"Phố Vạn Phúc, Phường Vạn Phúc, Hà Đông, Hà Nội",50 m²,6.35 tỷ,4 m,7 m,,,4 tầng,,Sổ đỏ,Nội thất đầy đủ,4 phòng
"69 ngách 117, Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",55 m²,8.6 tỷ,4 m,,,,6 tầng,10 phòng,Sổ đỏ/ Sổ hồng,Full nội thất cao cấp,10 phòng
"Đường Trương Công Giai, Phường Dịch Vọng, Cầu Giấy, Hà Nội",50 m²,9.2 tỷ,4 m,6 m,,,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Huỳnh Thúc Kháng, Phường Láng Hạ, Đống Đa, Hà Nội",38 m²,8.5 tỷ,5 m,6 m,,,6 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Do Nha, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",60 m²,2.8 tỷ,,,,,,,Sổ đỏ/ Sổ hồng,,
"Phố Phương Mai, Phường Phương Mai, Đống Đa, Hà Nội",37 m²,3.15 tỷ,6 m,,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Phố Thái Hà, Phường Quang Trung, Đống Đa, Hà Nội",34 m²,6.2 tỷ,3.6 m,,,,5 tầng,4 phòng,Sổ đỏ,,3 phòng
"Phố Thái Hà, Phường Quang Trung, Đống Đa, Hà Nội",50 m²,7.5 tỷ,4.8 m,,,,6 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Trung Phụng, Phường Trung Phụng, Đống Đa, Hà Nội",40 m²,4.5 tỷ,,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,4 phòng
"Đường Chiến Thắng, Phường Văn Quán, Hà Đông, Hà Nội",40 m²,6 tỷ,,,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Chiến Thắng, Phường Văn Quán, Hà Đông, Hà Nội",48 m²,5.1 tỷ,,,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường An Hòa, Phường Mỗ Lao, Hà Đông, Hà Nội",36 m²,4 tỷ,3.6 m,3 m,,,4 tầng,3 phòng,Sổ đỏ,,4 phòng
"Đường Nguyễn Văn Lộc, Phường Mỗ Lao, Hà Đông, Hà Nội",44 m²,5.4 tỷ,,,,,4 tầng,3 phòng,Sổ đỏ,,4 phòng
"Ngõ 131, Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội.",38 m²,6 tỷ,,,,,4 tầng,4 phòng,Sổ đỏ,,4 phòng
"Đường Bắc Cầu, Phường Ngọc Thụy, Long Biên, Hà Nội",35 m²,1.5 tỷ,4 m,3 m,,,1 tầng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,1 phòng
"đường Võng Thị, Phường Bưởi, Tây Hồ, Hà Nội",65 m²,7.3 tỷ,,,,,4 tầng,3 phòng,,,4 phòng
"Đường Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",50 m²,5.3 tỷ,,,,,4 tầng,3 phòng,,,4 phòng
"Ngõ 28, Đường Tứ Liên, Phường Tứ Liên, Tây Hồ, Hà Nội",45 m²,5.5 tỷ,6 m,2.5 m,Tây - Bắc,Tây - Bắc,5 tầng,4 phòng,Sổ đỏ chính chủ,Nội thất cơ bản.,4 phòng
"Đường Âu Cơ, Phường Tứ Liên, Tây Hồ, Hà Nội",43 m²,5.55 tỷ,3.9 m,3 m,Đông - Nam,Đông - Nam,5 tầng,4 phòng,Sổ đỏ,Nội thất cơ bản,6 phòng
"Đường Tứ Liên, Phường Tứ Liên, Tây Hồ, Hà Nội",32 m²,4.8 tỷ,,,Tây - Bắc,Tây - Bắc,5 tầng,4 phòng,Sổ đỏ,Nội thất cơ bản,3 phòng
"Phường Thổ Quan, Đống Đa, Hà Nội",40 m²,5 tỷ,4 m,8 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,7 phòng
"Đường Khương Đình, Phường Khương Đình, Thanh Xuân, Hà Nội",40 m²,4.39 tỷ,4 m,3.5 m,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Full nội thất,5 phòng
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",33 m²,3.7 tỷ,3.5 m,3 m,,,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng.,,3 phòng
"Xã Ngọc Hồi, Thanh Trì, Hà Nội",57 m²,1.95 tỷ,,,,,1 tầng,,,,
"Đường Hoàng Mai, Phường Mai Động, Hoàng Mai, Hà Nội",38 m²,5.85 tỷ,4.5 m,6 m,,,5 tầng,5 phòng,Sổ đỏ.,Cơ bản.,5 phòng
"Đường Nguyễn Xiển, Phường Hạ Đình, Thanh Xuân, Hà Nội",36 m²,3.6 tỷ,4 m,3 m,,,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,Full nội thất.,3 phòng
"Đường Giáp Nhất, Phường Nhân Chính, Thanh Xuân, Hà Nội",30 m²,2.95 tỷ,3.2 m,3 m,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Full nội thất,3 phòng
"Đường Ngọc Hồi, Xã Ngọc Hồi, Thanh Trì, Hà Nội",69 m²,1.85 tỷ,6.3 m,1.8 m,,,1 tầng,1 phòng,Sổ đỏ/ Sổ hồng,,2 phòng
"Phố Ngọc Khánh, Phường Ngọc Khánh, Ba Đình, Hà Nội",37 m²,3.75 tỷ,3.6 m,3 m,,,5 tầng,4 phòng,Sổ đỏ,,4 phòng
"Đường Ngô Quyền, Phường Quang Trung, Hà Đông, Hà Nội",50 m²,4.6 tỷ,,,,,5 tầng,,Sổ đỏ,,4 phòng
"Đường Nguyễn Khoái, Phường Thanh Trì, Hoàng Mai, Hà Nội",42 m²,3.65 tỷ,3.2 m,,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,,4 phòng
"Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",61 m²,5.6 tỷ,,,Đông - Nam,,,,Sổ đỏ/ Sổ hồng,,
"Đường Bùi Xương Trạch, Phường Khương Đình, Thanh Xuân, Hà Nội",30 m²,4.15 tỷ,,,,,5 tầng,,Sổ đỏ/ Sổ hồng,,
"Phố Quốc Tử Giám, Phường Văn Miếu, Đống Đa, Hà Nội",19 m²,2.1 tỷ,3.2 m,3 m,,,5 tầng,3 phòng,,,3 phòng
"Đường Minh Khai, Phường Trương Định, Hai Bà Trưng, Hà Nội",43.7 m²,3 tỷ,4.5 m,2 m,,,,,Sổ đỏ/ Sổ hồng,,
"Phố Sở Thượng, Phường Yên Sở, Hoàng Mai, Hà Nội",72 m²,8.5 tỷ,5.5 m,10 m,,,,,Sổ đỏ/ Sổ hồng,,
"Đường Ngô Sĩ Liên, Phường Văn Miếu, Đống Đa, Hà Nội",27 m²,3.3 tỷ,,,,,,,,,
"Phường Thịnh Quang, Đống Đa, Hà Nội",30 m²,2.5 tỷ,,,,,,,,,
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",33 m²,3.1 tỷ,3.5 m,4 m,,,4 tầng,2 phòng,,Đầy đủ,3 phòng
"Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội",60 m²,8.75 tỷ,4 m,5 m,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng
"Đường Ngọc Hà, Phường Ngọc Hà, Ba Đình, Hà Nội",45 m²,8.9 tỷ,,,,,6 tầng,,Sổ đỏ,,4 phòng
"Đường Đội Cấn, Phường Liễu Giai, Ba Đình, Hà Nội",25 m²,3.4 tỷ,,,,,4 tầng,,Sổ đỏ,,2 phòng
"Đường Quan Hoa, Phường Quan Hoa, Cầu Giấy, Hà Nội",30 m²,4.15 tỷ,,,,,5 tầng,,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Nguyễn Khánh Toàn, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",47 m²,7.7 tỷ,5 m,4 m,,,5 tầng,,Có sổ.,Đầy đủ và hiện đại.,6 phòng
"Đường Xuân Thủy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",48 m²,4.95 tỷ,4.1 m,1.5 m,,,3 tầng,,,,5 phòng
"Đường Nguyễn Quý Đức, Phường Thanh Xuân Bắc, Thanh Xuân, Hà Nội",30 m²,2.5 tỷ,,,,,,,,,
"Phố Chính Kinh, Phường Nhân Chính, Thanh Xuân, Hà Nội",38 m²,3.55 tỷ,4 m,3 m,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Full nội thất,5 phòng
"Ngõ 75, Đường Vĩnh Phúc, Phường Vĩnh Phúc, Ba Đình, Hà Nội",45 m²,4.8 tỷ,3.5 m,3 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,5 phòng
"Phố Ngọc Khánh, Phường Giảng Võ, Ba Đình, Hà Nội",34 m²,4.5 tỷ,,,,,4 tầng,,Sổ đỏ/ Sổ hồng,,3 phòng
"Phố Trần Quốc Hoàn, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",40 m²,9.8 tỷ,9 m,4 m,,,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng,Tặng toàn bộ.,5 phòng
"Ngõ 1044, Đường Quang Trung, Phường Yên Nghĩa, Hà Đông, Hà Nội",37 m²,2.82 tỷ,5 m,,Tây - Nam,,4 tầng,3 phòng,,- Nội thất cơ bản đầy đủ.,3 phòng
"Ngõ 24, Đường Kim Đồng, Phường Giáp Bát, Hoàng Mai, Hà Nội",48 m²,9.5 tỷ,,,,,6 tầng,5 phòng,Sổ đỏ.,,5 phòng
"Đường Phùng Khoang, Phường Trung Văn, Nam Từ Liêm, Hà Nội",40 m²,3.75 tỷ,,,,,,,,,
"Đường Trường Chinh, Phường Ngã Tư Sở, Đống Đa, Hà Nội",32 m²,2.7 tỷ,5 m,4 m,,,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,,3 phòng
"Phố Vạn Phúc, Phường Vạn Phúc, Hà Đông, Hà Nội",36 m²,3.2 tỷ,4 m,4 m,,,5 tầng,3 phòng,Sổ đỏ,Nội thất đầy đủ ,3 phòng
"Đường Phan Đình Giót, Phường La Khê, Hà Đông, Hà Nội",33 m²,3.45 tỷ,3.5 m,,Nam,,5 tầng,4 phòng,,- Nội thất nhà cơ bản đầy đủ.,4 phòng
"Đường An Trai, Xã Vân Canh, Hoài Đức, Hà Nội.",35 m²,2 tỷ,,3 m,,,4 tầng,4 phòng,,,4 phòng
"Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Hà Nội",50 m²,5.2 tỷ,,,,,,4 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Mậu Lương, Phường Phú Lãm, Hà Đông, Hà Nội",33 m²,2.4 tỷ,3.5 m,,Đông - Bắc,,4 tầng,3 phòng,,,3 phòng
"Đường Hoàng Văn Thái, Phường Khương Mai, Thanh Xuân, Hà Nội",61 m²,7.1 tỷ,5.6 m,3 m,,,3 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Phường Thanh Lương, Hai Bà Trưng, Hà Nội",21 m²,1.9 tỷ,,,,,3 tầng,,,,2 phòng
"Đường Vĩnh Phúc, Phường Vĩnh Phúc, Ba Đình, Hà Nội",35 m²,4.1 tỷ,4 m,3 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Full nội thất,3 phòng
"Phố Phú Lương, Phường Phú Lương, Hà Đông, Hà Nội",34 m²,2.32 tỷ,3.8 m,2.8 m,Nam,Nam,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất cơ bản,3 phòng
"Đường Ngô Quyền, Phường Vạn Phúc, Hà Đông, Hà Nội",70 m²,6.3 tỷ,4 m,6 m,,,3 tầng,3 phòng,Sổ đỏ,Cũ,5 phòng
"Đường Kim Giang, Phường Đại Kim, Hoàng Mai, Hà Nội",50 m²,5.38 tỷ,3.4 m,3.5 m,,,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,5 phòng
"Phố Lý Thường Kiệt, Phường Phú La, Hà Đông, Hà Nội",55 m²,7.7 tỷ,6 m,,,,,,Sổ đỏ/ Sổ hồng,,
"Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội",36 m²,3.4 tỷ,,,,,5 tầng,3 phòng,Sổ đỏ,Nội thất đầy đủ ,3 phòng
"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",73 m²,6.5 tỷ,6.5 m,,,,3 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Hà Trì, Phường Hà Cầu, Hà Đông, Hà Nội",30 m²,3.25 tỷ,,,,,5 tầng,,,,3 phòng
"Đường Đức Giang, Phường Đức Giang, Long Biên, Hà Nội",54 m²,5.1 tỷ,3.4 m,6 m,Tây - Nam,Tây - Nam,4 tầng,4 phòng,Sổ đỏ.,Cơ bản nội thất gỗ lim.,6 phòng
"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",48 m²,4.3 tỷ,6.8 m,3 m,,,5 tầng,,Sổ đỏ/ Sổ hồng,,4 phòng
"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",50 m²,5.2 tỷ,,,,,,,Sổ đỏ/ Sổ hồng,,
"Ngõ 89, Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội",40 m²,5 tỷ,,,,,5 tầng,,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường 19/5, Phường Văn Quán, Hà Đông, Hà Nội",65 m²,8.6 tỷ,,3 m,Tây - Bắc,,6 tầng,17 phòng,,,17 phòng
"Đường Ỷ La, Phường Dương Nội, Hà Đông, Hà Nội",35 m²,2.63 tỷ,3.5 m,3 m,Nam,Nam,5 tầng,4 phòng,Sổ hồng.,,3 phòng
"Đường Nguyễn Ngọc Nại, Phường Khương Mai, Thanh Xuân, Hà Nội",80 m²,6.49 tỷ,5 m,3 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Chất lượng.,4 phòng
"Ngõ 163, Đường Hoàng Văn Thái, Phường Khương Mai, Thanh Xuân, Hà Nội",46 m²,5.5 tỷ,4 m,3 m,,,,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,3 phòng
"Phố Vạn Phúc, Phường Liễu Giai, Ba Đình, Hà Nội",95 m²,9.45 tỷ,6 m,6 m,,,2 tầng,2 phòng,Sổ đỏ/ Sổ hồng,Chất lượng cao,4 phòng
"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",33 m²,3.1 tỷ,,,,,,,Sổ đỏ/ Sổ hồng,,
"Phường Văn Quán, Hà Đông, Hà Nội",70 m²,9.4 tỷ,6.4 m,,,,4 tầng,4 phòng,,,6 phòng
"Đường Cù Chính Lan, Phường Khương Mai, Thanh Xuân, Hà Nội",36 m²,4.2 tỷ,,,,,,,Sổ đỏ/ Sổ hồng.,,
"Đường Tả Thanh Oai, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",35 m²,2.3 tỷ,,,,,4 tầng,,,,3 phòng
"Đường Nguyễn Lương Bằng, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",30 m²,2.85 tỷ,,,,,5 tầng,4 phòng,,,3 phòng
"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",40 m²,4.35 tỷ,4 m,3 m,,,5 tầng,,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội",40 m²,4.4 tỷ,,,,,,,Sổ đỏ/ Sổ hồng,,
"Đường 19/5, Phường Văn Quán, Hà Đông, Hà Nội",34 m²,4.1 tỷ,4.7 m,3 m,Tây - Bắc,Tây - Bắc,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất cơ bản ,4 phòng
"Đường Vũ Trọng Khánh, Phường Mỗ Lao, Hà Đông, Hà Nội",34 m²,3.6 tỷ,3.5 m,3 m,Đông - Nam,Đông - Nam,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất đẹp,3 phòng
"Đường 19/5, Phường Văn Quán, Hà Đông, Hà Nội",35 m²,3.7 tỷ,3.5 m,3 m,Tây - Bắc,Tây - Bắc,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ nội thất.,4 phòng
"Đường Hà Trì, Phường Hà Cầu, Hà Đông, Hà Nội",35 m²,3 tỷ,3.5 m,3 m,Đông - Nam,Đông - Nam,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất cơ bản đầy đủ ,4 phòng
"Đường Đa Sỹ, Phường Kiến Hưng, Hà Đông, Hà Nội",36 m²,2.5 tỷ,3.4 m,2.5 m,Tây - Bắc,Tây - Bắc,2 tầng,2 phòng,Sổ đỏ,Nội thất cơ bản ,4 phòng
"Đường Mậu Lương, Phường Kiến Hưng, Hà Đông, Hà Nội",33 m²,3.4 tỷ,3.55 m,3 m,Đông - Bắc,Đông - Bắc,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất cơ bản ,4 phòng
"Đường Thanh Bình, Phường Mỗ Lao, Hà Đông, Hà Nội",34 m²,3.65 tỷ,3.8 m,3 m,Đông - Nam,Tây - Nam,5 tầng,3 phòng,Sổ đỏ,,3 phòng
"Đường Quốc lộ 6, Phường Biên Giang, Hà Đông, Hà Nội",30 m²,1.9 tỷ,3.5 m,2.2 m,Tây - Bắc,Tây - Nam,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Xã Nam Hồng, Đông Anh, Hà Nội",80.7 m²,4.1 tỷ,,,,,3 tầng,2 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường La Tinh, Xã Đông La, Hoài Đức, Hà Nội",32 m²,2.4 tỷ,,3 m,Tây - Nam,Tây - Nam,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,"Nội thất treo tường cao cấp, thiết bị vệ sinh sang trọng.",3 phòng
"Phố Phùng Hưng, Phường Phúc La, Hà Đông, Hà Nội",35 m²,3.05 tỷ,4 m,,,,5 tầng,,,,3 phòng
"Phường Hạ Đình, Thanh Xuân, Hà Nội",70 m²,8 tỷ,4 m,,,,,,Sổ đỏ/ Sổ hồng,,
"Đường Đình Thôn, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",79 m²,8.3 tỷ,,,,,4 tầng,3 phòng,,,4 phòng
"Phố Hào Nam, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",45 m²,5.15 tỷ,,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,5 phòng
"Đường Xa La, Phường Kiến Hưng, Hà Đông, Hà Nội",42 m²,3.98 tỷ,3 m,,,,4 tầng,3 phòng,,,4 phòng
"Ngõ 570, Đường Kim Giang, Xã Thanh Liệt, Thanh Trì, Hà Nội",37 m²,3.75 tỷ,4 m,,,,4 tầng,,,,4 phòng
"Phường Thanh Lương, Hai Bà Trưng, Hà Nội",36 m²,4.95 tỷ,,,,,4 tầng,,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Cầu Diễn, Phường Minh Khai, Bắc Từ Liêm, Hà Nội",35 m²,3.2 tỷ,4.5 m,3 m,,,5 tầng,4 phòng,"Sổ đỏ đầy đủ, pháp lý sạch sẽ",Cao cấp,3 phòng
"Xóm 4, đường Quỳnh Đô, Xã Vĩnh Quỳnh, Thanh Trì, Hà Nội",32 m²,700 triệu,,2 m,,,,,,,
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",42 m²,4.8 tỷ,5 m,5 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,Hiện đại.,3 phòng
"Xã Vân Nội, Đông Anh, Hà Nội",51.9 m²,1.35 tỷ,,,,,1 tầng,1 phòng,Sổ đỏ/ Sổ hồng,,1 phòng
"Đường Triều Khúc, Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",36 m²,4.2 tỷ,,,,,6 tầng,,Sổ đỏ/ Sổ hồng.,,
"Đường Khương Đình, Phường Khương Đình, Thanh Xuân, Hà Nội",41 m²,3.8 tỷ,,,,,,,Sổ đỏ/ Sổ hồng,,
"Đường Hoàng Hoa Thám, Phường Ngọc Hà, Ba Đình, Hà Nội",32 m²,4.9 tỷ,4 m,2.5 m,,,5 tầng,4 phòng,Sổ đỏ chính chủ,Đầy đủ,3 phòng
"Phường Tân Mai, Hoàng Mai, Hà Nội",50 m²,7.5 tỷ,4.2 m,,,,6 tầng,,,,
"Phường Ngọc Lâm, Long Biên, Hà Nội",55 m²,5.1 tỷ,4.3 m,,,,4 tầng,,Sổ đỏ/ Sổ hồng.,,3 phòng
"Phố Cầu Cốc, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",34 m²,3.3 tỷ,4.4 m,3 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,CƠ BẢN,3 phòng
"Phường Thượng Thanh, Long Biên, Hà Nội",35 m²,2.8 tỷ,,,,,4 tầng,,,,3 phòng
"Dự án Happy Land Đông Anh, Đường Cao tốc Thăng Long Nội Bài, Thị trấn Đông Anh, Đông Anh, Hà Nội",40 m²,1.5 tỷ,4 m,6 m,,,2 tầng,2 phòng,Sổ đỏ,,2 phòng
"Đường Nguyễn Văn Linh, Phường Phúc Đồng, Long Biên, Hà Nội",38 m²,3.6 tỷ,4 m,5 m,,,5 tầng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,6 phòng
"Xã Phú Cường, Sóc Sơn, Hà Nội",46 m²,1.35 tỷ,5 m,4 m,,,3 tầng,2 phòng,Sổ đỏ/ Sổ hồng.,,3 phòng
"Xã Mai Đình, Sóc Sơn, Hà Nội",40 m²,1.3 tỷ,,5 m,,,3 tầng,2 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Yên Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội",35 m²,5.05 tỷ,3.5 m,2.5 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,Full nội thất y hình.,3 phòng
"Đường Xuân La, Phường Xuân La, Tây Hồ, Hà Nội",32 m²,4.9 tỷ,5.7 m,3.5 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,Tặng đầy đủ nội thất.,3 phòng
"Đường Nguyễn Khang, Phường Yên Hòa, Cầu Giấy, Hà Nội",39 m²,5.48 tỷ,,,,,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng,,5 phòng
"Đường Trường Chinh, Phường Ngã Tư Sở, Đống Đa, Hà Nội",42 m²,3.45 tỷ,,,,,,,,,
"Phường Đồng Tâm, Hai Bà Trưng, Hà Nội",28 m²,2.95 tỷ,,,,,4 tầng,,Đã có sổ đỏ,,
"Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",35 m²,2.74 tỷ,,3.5 m,,,5 tầng,4 phòng,Sổ đỏ,Nội thất đầy đủ ,3 phòng
"Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",38 m²,3.09 tỷ,3.5 m,3.5 m,Bắc,Bắc,5 tầng,4 phòng,Sổ đỏ,Nội thất cơ bản đầy đủ,5 phòng
"Phố Phú Lương, Phường Phú Lương, Hà Đông, Hà Nội",35 m²,2.32 tỷ,3.5 m,3 m,Nam,Nam,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất cơ bản đầy đủ,3 phòng
"Đường Di Trạch, Xã Di Trạch, Hoài Đức, Hà Nội",31 m²,2.69 tỷ,3.2 m,2.2 m,Bắc,Bắc,5 tầng,4 phòng,,Cơ bản.,4 phòng
"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",33 m²,5.4 tỷ,3.3 m,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Full nội thất ,3 phòng
"Đường Kim Ngưu, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",40 m²,4.85 tỷ,4.5 m,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,5 phòng
"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",40 m²,5.05 tỷ,4 m,,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,5 phòng
"Đường Giang Văn Minh, Phường Kim Mã, Ba Đình, Hà Nội",39 m²,5.9 tỷ,,3 m,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Lương Thế Vinh, Phường Thanh Xuân Bắc, Thanh Xuân, Hà Nội",41 m²,6.3 tỷ,,7 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,4 phòng
"Đường Phạm Văn Đồng, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",45 m²,4.6 tỷ,5 m,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Xã Đông La, Hoài Đức, Hà Nội",30 m²,2.35 tỷ,3.3 m,3 m,Đông - Nam,Đông - Nam,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Tố Hữu, Phường Yên Nghĩa, Hà Đông, Hà Nội",35 m²,2.8 tỷ,3.4 m,4 m,Tây - Nam,Tây - Nam,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,"Nội thất cơ bản. tặng giường, tủ, bàn trà phòng khách.",3 phòng
"Đường Yên Lộ, Phường Yên Nghĩa, Hà Đông, Hà Nội",35 m²,2 tỷ,5 m,4 m,Đông - Nam,Đông - Nam,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
